Frame,"Comp_Sky (ms)","G-Buffer (ms)","RT (ms)","SVGF_Spatial_1 (ms)","SVGF_Spatial_16 (ms)","SVGF_Spatial_2 (ms)","SVGF_Spatial_4 (ms)","SVGF_Spatial_8 (ms)","SVGF_Temp (ms)"
94,0.05424,0.396096,2.20019,0.264096,0.251872,0.393088,0.247168,0.247616,0.269184
95,0.054368,0.396736,2.49149,0.264096,0.253856,0.24976,0.243584,0.245664,0.268192
96,0.054688,0.397664,2.42445,0.264064,0.253824,0.249728,0.253248,0.24768,0.270208
97,0.054208,0.397248,2.20093,0.264096,0.251808,0.250784,0.245664,0.245664,0.268192
98,0.061344,0.397984,2.35395,0.264096,0.527232,0.249728,0.243584,0.245632,0.270208
99,0.053888,0.397408,2.1937,0.264064,0.2528,0.24976,0.243584,0.245632,0.27024
100,0.054176,0.599392,2.38595,0.264096,0.251776,0.24976,0.245664,0.245632,0.27024
101,0.054144,0.399744,2.1943,0.262016,0.252832,0.24976,0.243584,0.245632,0.268192
102,0.054592,0.397472,2.3511,0.54464,0.253824,0.251104,0.245632,0.245632,0.26816
103,0.056864,0.395072,2.41078,0.279456,0.397184,0.24976,0.243616,0.245664,0.269216
104,0.054752,0.397888,2.40317,0.262016,0.253856,0.24976,0.245664,0.245664,0.27024
105,0.056544,0.397536,2.19357,0.264064,0.4064,0.249728,0.245632,0.244608,0.26816
106,0.054176,0.397888,2.49533,0.264064,0.2552,0.24976,0.243616,0.385952,0.268192
107,0.054272,0.3976,2.42371,0.262016,0.253632,0.24976,0.243616,0.243776,0.268192
108,0.054208,0.646432,2.19414,0.264096,0.253856,0.249728,0.243584,0.243584,0.26816
109,0.054176,0.397856,2.19882,0.2696,0.253824,0.251776,0.245632,0.245664,0.408448
110,0.05456,0.397536,2.51395,0.264096,0.255904,0.251808,0.245632,0.247712,0.26816
111,0.054656,0.399616,2.44707,0.273696,0.255872,0.251776,0.245632,0.24768,0.449408
112,0.054048,0.399264,2.22163,0.266144,0.255904,0.251776,0.247712,0.245664,0.269216
113,0.05504,0.39728,2.37133,0.264064,0.257952,0.251776,0.512928,0.255232,0.27024
114,0.054496,0.400064,2.3815,0.266112,0.255872,0.251776,0.245632,0.24768,0.270208
115,0.054368,0.396704,2.21901,0.266144,0.255904,0.250752,0.24768,0.247712,0.27024
116,0.054432,0.400128,2.21238,0.26512,0.255904,0.251808,0.245664,0.247712,0.27024
117,0.054752,0.398752,2.37901,0.265408,0.253856,0.251776,0.245632,0.24768,0.540544
118,0.054624,0.39872,2.42589,0.280448,0.255904,0.249728,0.245664,0.245632,0.29376
119,0.054528,0.401952,2.41763,0.264064,0.255904,0.251776,0.245632,0.247712,0.27024
120,0.054336,0.399264,2.20822,0.266112,0.257248,0.251776,0.24768,0.409472,0.270208
