Frame,CPU_Time_ms,VRAM_MB,RAM_MB,Fragment_Invocations,Compute_Invocations
529,4.64249,3766,1502,6609313,12165120
530,5.25284,3766,1502,6639916,12165120
531,4.47464,3766,1502,6655758,12165120
532,4.65393,3766,1502,6656361,12165120
533,4.79126,3766,1502,6661713,12165120
534,4.94385,3766,1502,6662062,12165120
535,4.68826,3766,1502,6661656,12165120
536,4.65775,3766,1502,6663123,12165120
537,5.03922,3766,1502,6660725,12165120
538,4.60815,3766,1502,6662137,12165120
539,4.83322,3766,1502,6660309,12165120
540,4.83704,3766,1502,6661590,12165120
541,4.69589,3766,1502,6662364,12165120
542,4.48608,3766,1502,6661800,12165120
543,4.65775,3766,1502,6661175,12165120
544,4.85611,3766,1502,6661926,12165120
545,4.65775,3766,1502,6661378,12165120
546,4.76837,3766,1502,6660242,12165120
547,5.77164,3766,1502,6662147,12165120
548,3.56293,3766,1502,6660867,12165120
549,4.85611,3766,1502,6659729,12165120
550,4.5433,3766,1502,6662637,12165120
551,5.08499,3766,1502,6660405,12165120
552,4.51279,3766,1502,6662018,12165120
553,4.60052,3766,1502,6661790,12165120
554,4.90952,3766,1502,6659481,12165120
555,4.74548,3766,1502,6659993,12165120
556,4.60434,3766,1502,6660850,12165120
557,4.66156,3766,1502,6661174,12165120
558,5.19943,3766,1502,6662027,12165120
559,4.5929,3766,1502,6660072,12165120
560,4.62341,3766,1502,6661817,12165120
561,4.81415,3766,1502,6659774,12165120
562,4.82941,3766,1502,6661403,12165120
563,4.76837,3766,1502,6661776,12165120
564,4.58527,3766,1502,6658635,12165120
565,4.89426,3766,1502,6660977,12165120
566,4.56619,3766,1502,6661120,12165120
567,4.98199,3766,1502,6660393,12165120
568,4.59671,3766,1502,6662923,12165120
569,4.60434,3766,1502,6660465,12165120
570,5.15747,3766,1502,6661323,12165120
571,4.1275,3766,1502,6661262,12165120
572,4.99344,3766,1502,6661289,12165120
573,4.5433,3766,1502,6661475,12165120
574,4.7226,3766,1502,6660681,12165120
575,4.65393,3766,1502,6661342,12165120
576,5.09262,3766,1502,6661400,12165120
577,4.57382,3766,1502,6659932,12165120
578,4.62341,3766,1502,6661259,12165120
579,4.83704,3766,1502,6660144,12165120
580,4.55475,3766,1502,6661121,12165120
581,4.9324,3766,1502,6662512,12165120
582,4.73022,3766,1502,6661114,12165120
583,4.58908,3766,1502,6661231,12165120
584,4.89044,3766,1502,6661786,12165120
585,4.55093,3766,1502,6660531,12165120
586,4.62341,3766,1502,6661899,12165120
587,5.09644,3766,1502,6662058,12165120
588,4.26483,3766,1502,6660183,12165120
589,4.91714,3766,1502,6660594,12165120
590,4.64249,3766,1502,6659627,12165120
591,4.57001,3766,1502,6659656,12165120
592,4.95911,3766,1502,6660132,12165120
593,5.34439,3766,1502,6661877,12165120
594,4.11606,3766,1502,6660529,12165120
595,5.34058,3766,1502,6662387,12165120
596,3.81851,3766,1502,6660696,12165120
597,5.51987,3766,1502,6660893,12165120
598,4.46701,3766,1502,6659419,12165120
599,4.3602,3766,1502,6661201,12165120
600,5.14984,3766,1502,6661229,12165120
601,4.83704,3766,1502,6661779,12165120
602,4.42886,3766,1502,6659336,12165120
603,4.73404,3766,1502,6660492,12165120
604,4.96674,3766,1502,6660861,12165120
605,4.24194,3766,1502,6661514,12165120
606,5.0087,3766,1502,6660577,12165120
607,4.44794,3766,1502,6661395,12165120
608,5.17654,3766,1502,6661465,12165120
609,4.63104,3766,1502,6662307,12165120
610,4.21906,3766,1502,6661817,12165120
611,5.28717,3766,1502,6661489,12165120
612,4.45175,3766,1502,6660400,12165120
613,4.52805,3766,1502,6661927,12165120
614,5.01633,3766,1502,6660648,12165120
615,4.83704,3766,1502,6661516,12165120
616,5.22995,3766,1502,6662035,12165120
617,4.29916,3766,1502,6661369,12165120
618,4.81796,3766,1502,6660996,12165120
619,4.91714,3766,1502,6661493,12165120
620,4.29916,3766,1502,6661358,12165120
621,4.62341,3766,1502,6660759,12165120
622,5.01633,3766,1502,6662627,12165120
623,4.95529,3766,1502,6661050,12165120
624,4.16183,3766,1502,6661235,12165120
625,5.33295,3766,1502,6659645,12165120
626,4.09698,3766,1502,6661211,12165120
627,4.89807,3766,1502,6659464,12165120
628,4.92859,3766,1502,6658925,12165120
629,4.42505,3766,1502,6660906,12165120
630,4.95529,3766,1502,6661097,12165120
631,4.4632,3766,1502,6662192,12165120
632,5.00107,3766,1502,6661909,12165120
633,4.56619,3766,1502,6660898,12165120
634,4.66919,3766,1502,6660951,12165120
635,4.69589,3766,1502,6659513,12165120
636,4.99725,3766,1502,6661263,12165120
637,4.56238,3766,1502,6662033,12165120
638,4.9057,3766,1502,6660495,12165120
639,4.69589,3766,1502,6666792,12165120
640,4.68063,3766,1502,6667226,12165120
641,4.70734,3766,1502,6671583,12165120
642,4.32205,3766,1502,6696577,12165120
643,5.31006,3766,1502,6698467,12165120
644,4.82941,3766,1502,6736095,12165120
645,4.46701,3766,1502,6734075,12165120
646,5.6076,3766,1502,6790790,12165120
647,4.50516,3766,1502,6862932,12165120
648,4.47464,3766,1502,6861811,12165120
649,4.95911,3766,1502,6974799,12165120
650,5.36346,3766,1502,7038552,12165120
651,4.36783,3766,1502,7030851,12165120
652,5.02396,3766,1502,6976189,12165120
653,5.3978,3766,1502,6887601,12165120
654,4.71497,3766,1502,6885914,12165120
655,4.9057,3766,1502,6848424,12165120
656,5.38635,3766,1502,6784349,12165120
657,4.68826,3766,1502,6786192,12165120
658,4.86755,3766,1502,6784201,12165120
659,5.21851,3766,1502,6849189,12165120
660,5.07736,3766,1502,6847264,12165120
